Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
3DBallLearning,1.626,9.343,5.573,12015,1.289
3DBallLearning,1.660,16.813,5.092,12021,1.343
3DBallLearning,1.621,24.137,5.021,12001,1.440
3DBallLearning,1.630,31.467,4.982,12016,1.630
3DBallLearning,1.913,39.288,5.210,12039,1.844
3DBallLearning,1.662,46.556,4.996,12007,2.135
3DBallLearning,1.622,53.848,5.030,12039,2.470
3DBallLearning,1.732,61.886,5.530,12379,2.880
3DBallLearning,1.659,69.973,5.665,12448,3.338
3DBallLearning,1.667,77.468,5.124,12439,3.796
3DBallLearning,1.643,85.334,5.486,12035,4.239
3DBallLearning,1.606,92.438,4.863,12121,4.687
3DBallLearning,1.672,99.848,5.095,12299,5.135
3DBallLearning,1.604,107.018,4.925,12032,5.577
3DBallLearning,1.724,114.234,4.824,12538,6.035
3DBallLearning,1.762,121.562,4.930,13000,6.508
3DBallLearning,1.680,128.964,5.042,12261,6.945
3DBallLearning,1.670,136.389,5.043,12243,7.380
3DBallLearning,1.736,143.949,5.084,12670,7.826
3DBallLearning,1.709,151.340,4.987,12467,8.257
3DBallLearning,1.660,158.941,5.271,12284,8.667
3DBallLearning,1.765,166.805,5.380,12619,9.087
3DBallLearning,1.679,173.965,4.832,12027,9.492
3DBallLearning,1.681,180.727,4.499,12267,9.901
3DBallLearning,1.809,188.422,5.198,12857,10.328
3DBallLearning,1.708,195.698,4.941,12050,10.722
3DBallLearning,1.743,204.178,5.928,12739,11.132
3DBallLearning,1.699,210.454,4.055,12282,11.522
3DBallLearning,1.720,218.526,5.593,12967,11.923
3DBallLearning,1.754,225.890,4.968,12997,12.335
3DBallLearning,1.792,233.670,5.292,12879,12.739
3DBallLearning,1.707,240.958,4.921,12386,13.122
3DBallLearning,1.756,249.032,5.582,13000,13.524
3DBallLearning,1.749,256.818,5.359,12652,13.898
